z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.8750000000e-01,5.5642542265e-03,-1.9823160403e-02,2.8314834016e+02,1.9933267905e-04,7.5274814198e-04,-1.0764172762e-06,4.4888273774e-07,7.3927730147e-07,7.3344709103e-06,4.4888273774e-07,2.4255497388e-06,-2.9128103481e-05,-4.7496782438e-04,2.7777777778e-03
-5.6250000000e-01,-3.2857838172e-03,-1.9501019103e-02,2.8314833987e+02,1.4264936239e-04,6.7514610851e-04,-9.1773792481e-07,-1.4644696341e-06,1.5733649200e-07,2.2592426583e-06,1.5247218377e-07,-1.4770721518e-06,-2.4824940316e-05,-1.0637815327e-03,8.3333333333e-03
-9.3750000000e-01,-4.0058606888e-03,-1.9253323907e-02,2.8314833953e+02,1.1122029405e-04,6.2495260415e-04,-4.6478685888e-07,-2.9794501482e-06,-2.8108635216e-08,8.1146859754e-07,5.8995351544e-08,-1.3323004513e-06,-2.2033230052e-05,-1.1269530157e-03,1.3888888889e-02
-1.3125000000e+00,-5.4888890746e-03,-1.8910343052e-02,2.8314833915e+02,1.1338974389e-04,5.8376211746e-04,-3.4216813558e-07,-4.2311327267e-06,-9.6431085430e-08,3.2303949662e-07,-1.6645773540e-08,-1.6154567773e-06,-1.9817505954e-05,-1.2210940827e-03,1.9444444444e-02
-1.6875000000e+00,-5.8488857533e-03,-1.8608617953e-02,2.8314833886e+02,1.0688016112e-04,5.5097238022e-04,-2.9036854059e-07,-5.3694418763e-06,-1.5558598948e-07,2.2390660396e-07,-5.0456474004e-08,-1.5432785416e-06,-1.8088790923e-05,-1.2496790679e-03,2.5000000000e-02
-2.0625000000e+00,-6.3654380655e-03,-1.8293584994e-02,2.8314833858e+02,1.0743300024e-04,5.2228714142e-04,-2.5716416284e-07,-6.3684437196e-06,-1.9012219699e-07,2.7426373799e-07,-5.5418553827e-08,-1.5877457423e-06,-1.6625699262e-05,-1.2822177271e-03,3.0555555556e-02
-2.4375000000e+00,-6.5191060478e-03,-1.8010400923e-02,2.8314833833e+02,1.0433264212e-04,4.9805419152e-04,-2.3105075203e-07,-7.3182284932e-06,-2.1191581618e-07,3.7332196903e-07,-4.4580859906e-08,-1.5304941650e-06,-1.5419463061e-05,-1.2963691564e-03,3.6111111111e-02
-2.8125000000e+00,-6.6926841246e-03,-1.7731884362e-02,2.8314833813e+02,1.0327790656e-04,4.7662578646e-04,-2.0688720038e-07,-8.1812237560e-06,-2.1714731662e-07,4.8168299451e-07,-2.5554126398e-08,-1.5097848815e-06,-1.4386358050e-05,-1.3098572192e-03,4.1666666667e-02
-3.1875000000e+00,-6.7213595569e-03,-1.7476440717e-02,2.8314833796e+02,1.0070699366e-04,4.5797438399e-04,-1.8596351557e-07,-8.9905290563e-06,-2.1526785169e-07,5.8403650206e-07,-4.9342333110e-09,-1.4530148134e-06,-1.3508478086e-05,-1.3166791172e-03,4.7222222222e-02
-3.5625000000e+00,-6.7466090627e-03,-1.7230407652e-02,2.8314833777e+02,9.8881253511e-05,4.4125019148e-04,-1.6755462778e-07,-9.7273534798e-06,-2.0665979158e-07,6.6998283560e-07,1.3612383042e-08,-1.4101572933e-06,-1.2742469195e-05,-1.3224366638e-03,5.2777777778e-02
