z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-8.1187500000e+01,-9.3453387459e-05,1.2140841227e-04,2.8260747471e+02,2.0804563393e-06,3.8687220879e-06,-2.2303842243e-10,-6.5729770291e-07,-3.2928968219e-09,-3.2466183958e-09,1.3723355675e-10,-5.9217796903e-10,1.6394335530e-09,-1.5593802702e-03,1.3121212121e+00
-8.1562500000e+01,-9.9858184560e-05,1.2273887569e-04,2.8259998473e+02,2.0528973063e-06,3.8753239955e-06,-2.2172039573e-10,-6.5234006088e-07,-3.2248596486e-09,-3.1039005272e-09,1.9077391640e-10,-6.5766914603e-10,1.5745794424e-09,-1.5593744943e-03,1.3181818182e+00
-8.1937500000e+01,-1.0546686907e-04,1.2760570233e-04,2.8259248792e+02,2.0349629637e-06,3.9019988530e-06,-2.2004327227e-10,-6.4713935866e-07,-3.1620482712e-09,-2.9453550708e-09,2.6679583958e-10,-7.0798708115e-10,1.5691253474e-09,-1.5593681318e-03,1.3242424242e+00
-8.2312500000e+01,-1.1078309503e-04,1.3556646372e-04,2.8258498633e+02,2.0273829541e-06,3.9463609072e-06,-2.1871757762e-10,-6.4204125982e-07,-3.0451539082e-09,-2.7565263792e-09,3.2701587970e-10,-7.5131305272e-10,1.6278315358e-09,-1.5593613001e-03,1.3303030303e+00
-8.2687500000e+01,-1.1605546245e-04,1.4522907981e-04,2.8257747096e+02,2.0309356063e-06,4.0053593587e-06,-2.1650967402e-10,-6.3721231772e-07,-3.0403985806e-09,-2.7974509163e-09,3.3787927294e-10,-7.9243251691e-10,1.7370281520e-09,-1.5593546814e-03,1.3363636364e+00
-8.3062500000e+01,-1.2150094372e-04,1.5573084818e-04,2.8256994820e+02,2.0481551767e-06,4.0713779954e-06,-2.1455385262e-10,-6.3249399130e-07,-2.9806321472e-09,-2.7213081799e-09,3.6286366571e-10,-8.3818116048e-10,1.8712806345e-09,-1.5593479503e-03,1.3424242424e+00
-8.3437500000e+01,-1.2581392447e-04,1.6701621827e-04,2.8256242579e+02,2.0721241468e-06,4.1378133336e-06,-2.1310044613e-10,-6.2800890487e-07,-2.9344394287e-09,-2.6114890437e-09,3.6544138727e-10,-8.8236437500e-10,2.0536525867e-09,-1.5593415306e-03,1.3484848485e+00
-8.3812500000e+01,-1.2909884591e-04,1.7773998470e-04,2.8255489445e+02,2.0999526609e-06,4.1962698317e-06,-2.1189459619e-10,-6.2375902341e-07,-2.8569630059e-09,-2.5409524756e-09,3.6221406190e-10,-9.3256673743e-10,2.2681045004e-09,-1.5593358211e-03,1.3545454545e+00
-8.4187500000e+01,-1.3075821073e-04,1.8630568041e-04,2.8254734445e+02,2.1264244719e-06,4.2405184475e-06,-2.0967275446e-10,-6.1970867051e-07,-2.7882703657e-09,-2.4526578883e-09,3.7714740851e-10,-9.8062264881e-10,2.4646953132e-09,-1.5593309910e-03,1.3606060606e+00
-8.4562500000e+01,-1.3101373715e-04,1.9244815502e-04,2.8253978005e+02,2.1483416827e-06,4.2676751545e-06,-2.0765304684e-10,-6.1605048336e-07,-2.8288295706e-09,-2.5175921195e-09,3.6356668664e-10,-1.0210634645e-09,2.6350244934e-09,-1.5593270748e-03,1.3666666667e+00
