z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-7.3125000000e+00,2.1585815094e-02,-5.1465092772e-02,2.8314338953e+02,7.8243442876e-04,2.8140634559e-03,-3.1419529529e-07,-2.3743254685e-05,3.8749985305e-07,4.3877095355e-08,-6.0529385835e-08,3.2213369292e-05,-1.6188715838e-04,-9.6666215666e-03,1.2187500000e-01
-7.6875000000e+00,2.0207920235e-02,-5.0855332976e-02,2.8314338570e+02,7.1588640587e-04,2.7502325778e-03,-2.9487609362e-07,-2.4321108144e-05,3.6839337478e-07,5.3011516351e-08,-5.0450579564e-08,2.8524911308e-05,-1.5658799602e-04,-9.6666708221e-03,1.2812500000e-01
-8.0625000000e+00,1.8908802016e-02,-5.0253579971e-02,2.8314338181e+02,6.5651288679e-04,2.6879851895e-03,-2.7771337993e-07,-2.4864011642e-05,3.5357216969e-07,6.0893239684e-08,-4.1676682294e-08,2.5316807396e-05,-1.5147816071e-04,-9.6666413106e-03,1.3437500000e-01
-8.4375000000e+00,1.7680085328e-02,-4.9657146299e-02,2.8314337785e+02,6.0341032748e-04,2.6270010425e-03,-2.6229653136e-07,-2.5368687863e-05,3.4091595145e-07,6.7372579297e-08,-3.2915106738e-08,2.2514091549e-05,-1.4652625988e-04,-9.6665397452e-03,1.4062500000e-01
-8.8125000000e+00,1.6513897895e-02,-4.9065831138e-02,2.8314337378e+02,5.5574300220e-04,2.5672691430e-03,-2.4830065960e-07,-2.5843436280e-05,3.2871688954e-07,7.1997959767e-08,-2.4796101428e-08,2.0054539920e-05,-1.4173058834e-04,-9.6663728333e-03,1.4687500000e-01
-9.1875000000e+00,1.5403896595e-02,-4.8480389803e-02,2.8314336963e+02,5.1284663777e-04,2.5088231826e-03,-2.3571424550e-07,-2.6292030895e-05,3.1766532472e-07,7.4578570163e-08,-1.8248683603e-08,1.7886516952e-05,-1.3708984732e-04,-9.6661457362e-03,1.5312500000e-01
-9.5625000000e+00,1.4342725858e-02,-4.7900441032e-02,2.8314336537e+02,4.7414170332e-04,2.4515788927e-03,-2.2413830832e-07,-2.6712770875e-05,3.0816908072e-07,7.5269487787e-08,-1.3711557823e-08,1.5965281098e-05,-1.3259180356e-04,-9.6658592271e-03,1.5937500000e-01
-9.9375000000e+00,1.3326059009e-02,-4.7326750266e-02,2.8314336102e+02,4.3915785872e-04,2.3956464538e-03,-2.1357206976e-07,-2.7106579626e-05,3.0016188160e-07,7.4536578838e-08,-1.0504024091e-08,1.4256228590e-05,-1.2824608987e-04,-9.6655156809e-03,1.6562500000e-01
-1.0312500000e+01,1.2351158585e-02,-4.6760633456e-02,2.8314335660e+02,4.0756456245e-04,2.3411034278e-03,-2.0387333591e-07,-2.7475742428e-05,2.9301347926e-07,7.2460799773e-08,-7.7697118547e-09,1.2733965668e-05,-1.2405458404e-04,-9.6651256907e-03,1.7187500000e-01
-1.0687500000e+01,1.1413447808e-02,-4.6200808567e-02,2.8314335207e+02,3.7899918826e-04,2.2877700128e-03,-1.9489172177e-07,-2.7820106460e-05,2.8752214645e-07,6.9928634020e-08,-5.8891276453e-09,1.1372186178e-05,-1.1999803138e-04,-9.6646956597e-03,1.7812500000e-01
