z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.8750000000e-01,6.6144451688e-02,-2.5752283181e-02,2.8312157173e+02,4.7404323849e-03,8.8113987568e-04,-1.6800645232e-06,-1.8584080914e-07,2.6084431177e-06,8.7385779016e-07,-1.8584080914e-07,3.6105016322e-04,-3.3870417916e-05,-2.8120793901e-03,2.9411764706e-03
-5.6250000000e-01,4.7200255715e-02,-2.5489949363e-02,2.8312297960e+02,2.5853983024e-03,8.3906974034e-04,-1.9045332050e-06,-1.7205060215e-06,1.3855843060e-06,-5.6724353660e-07,-2.7796254191e-07,1.5629471686e-04,-3.1085083221e-05,-2.8371860500e-03,8.8235294118e-03
-9.3750000000e-01,3.9744380450e-02,-2.4957705984e-02,2.8312367492e+02,1.8868160978e-03,7.9329483240e-04,-9.4563009913e-07,-2.6847814413e-06,8.7825423825e-07,-6.7627333085e-07,-2.6536374582e-07,1.0052874321e-04,-2.8362983877e-05,-2.8486376324e-03,1.4705882353e-02
-1.3125000000e+00,3.3469564989e-02,-2.4478331880e-02,2.8312420934e+02,1.4110766728e-03,7.5457476238e-04,-7.2352059742e-07,-3.6628769649e-06,7.5703701625e-07,-6.3174602350e-07,-2.7759629185e-07,6.8179860041e-05,-2.6130019936e-05,-2.8517484528e-03,2.0588235294e-02
-1.6875000000e+00,2.8789585135e-02,-2.3992739404e-02,2.8312464349e+02,1.1055820052e-03,7.1935880633e-04,-5.6830961728e-07,-4.4345612632e-06,7.2976182135e-07,-5.4849300801e-07,-2.8228255667e-07,4.9494081526e-05,-2.4198320724e-05,-2.8518579155e-03,2.6470588235e-02
-2.0625000000e+00,2.4756126815e-02,-2.3527098339e-02,2.8312501929e+02,8.8083531723e-04,6.8795926457e-04,-4.6666547073e-07,-5.1194401094e-06,7.0412622658e-07,-4.6137500149e-07,-2.7417089731e-07,3.7018919929e-05,-2.2546970180e-05,-2.8509770319e-03,3.2352941176e-02
-2.4375000000e+00,2.1396756757e-02,-2.3072482364e-02,2.8312534924e+02,7.1775092572e-04,6.5945539430e-04,-3.8402243168e-07,-5.7173952372e-06,6.5442468478e-07,-3.7310297289e-07,-2.5273953924e-07,2.8595076452e-05,-2.1112140707e-05,-2.8499384418e-03,3.8235294118e-02
-2.8125000000e+00,1.8476429280e-02,-2.2633560326e-02,2.8312564346e+02,5.9436322056e-04,6.3345412655e-04,-3.2046769613e-07,-6.2563076505e-06,5.9281587331e-07,-2.8922268093e-07,-2.2611535780e-07,2.2580888522e-05,-1.9849628742e-05,-2.8490208133e-03,4.4117647059e-02
-3.1875000000e+00,1.5959715421e-02,-2.2211937791e-02,2.8312590701e+02,5.0070406120e-04,6.0964147361e-04,-2.6905662577e-07,-6.7384652655e-06,5.2563210099e-07,-2.1319921881e-07,-1.9678816247e-07,1.8193641822e-05,-1.8731872095e-05,-2.8483225064e-03,5.0000000000e-02
-3.5625000000e+00,1.3759151177e-02,-2.1809932438e-02,2.8312614394e+02,4.2851403681e-04,5.8775573482e-04,-2.2821840080e-07,-7.1680247814e-06,4.6265487689e-07,-1.4761923934e-07,-1.6555414968e-07,1.4900502701e-05,-1.7733975529e-05,-2.8478421441e-03,5.5882352941e-02
-3.9375000000e+00,1.1839032682e-02,-2.1427279211e-02,2.8312635765e+02,3.7235643734e-04,5.6755932389e-04,-1.9519758907e-07,-7.5492772976e-06,4.0276345611e-07,-9.2644938954e-08,-1.3464518399e-07,1.2373672323e-05,-1.6836449058e-05,-2.8475609412e-03,6.1764705882e-02
-4.3125000000e+00,1.0151352242e-02,-2.1064239975e-02,2.8312655033e+02,3.2826119541e-04,5.4885677259e-04,-1.6866190680e-07,-7.8858639861e-06,3.5061754139e-07,-4.8833967842e-08,-1.0843518948e-07,1.0395963628e-05,-1.6022918464e-05,-2.8474350128e-03,6.7647058824e-02
-4.6875000000e+00,8.6661343064e-03,-2.0719234019e-02,2.8312672423e+02,2.9333623986e-04,5.3141374612e-04,-1.4721259689e-07,-8.1802297363e-06,3.0604939437e-07,-1.5338630576e-08,-8.6142071684e-08,8.8197937108e-06,-1.5278071551e-05,-2.8474227878e-03,7.3529411765e-02
-5.0625000000e+00,7.3538225789e-03,-2.0388341454e-02,2.8312688139e+02,2.6541144948e-04,5.1495087034e-04,-1.2969410551e-07,-8.4345609627e-06,2.6782558005e-07,1.0376750446e-08,-6.7041173980e-08,7.5441600780e-06,-1.4586582626e-05,-2.8474894280e-03,7.9411764706e-02
-5.4375000000e+00,6.1921503648e-03,-2.0072627918e-02,2.8312702349e+02,2.4286672104e-04,4.9949016089e-04,-1.1518326553e-07,-8.6559478807e-06,2.3508472503e-07,3.0881542733e-08,-5.1484514321e-08,6.4980603579e-06,-1.3946487487e-05,-2.8476096323e-03,8.5294117647e-02
-5.8125000000e+00,5.1598832730e-03,-1.9771006584e-02,2.8312715202e+02,2.2446758815e-04,4.8488790794e-04,-1.0317027352e-07,-8.8482854019e-06,2.0668521336e-07,4.6455066122e-08,-3.8567171863e-08,5.6278210209e-06,-1.3349757803e-05,-2.8477664571e-03,9.1176470588e-02
-6.1875000000e+00,4.2400488203e-03,-1.9484967156e-02,2.8312726867e+02,2.0935901449e-04,4.7116109746e-04,-9.3157865975e-08,-9.0146705874e-06,1.8463703609e-07,5.6556043612e-08,-2.8346740127e-08,4.8991278359e-06,-1.2794799605e-05,-2.8479486859e-03,9.7058823529e-02
-6.5625000000e+00,3.4175889218e-03,-1.9210942332e-02,2.8312737459e+02,1.9683004976e-04,4.5813775080e-04,-8.4700206255e-08,-9.1572613287e-06,1.6697827856e-07,6.1934341114e-08,-2.0963300349e-08,4.2819852396e-06,-1.2274602726e-05,-2.8481509625e-03,1.0294117647e-01
