z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.8750000000e-01,1.6035348956e-02,-1.7006259165e-02,2.8314830468e+02,4.3741238727e-04,5.6100975921e-04,-9.9448940292e-07,1.0415583188e-07,1.0722891740e-06,4.2335872875e-06,1.0415583188e-07,1.2353352758e-05,-1.8696740063e-05,-4.9909082068e-04,2.8089887640e-03
-5.6250000000e-01,4.8692662123e-03,-1.6769601135e-02,2.8314833600e+02,1.7166818903e-04,5.0623928562e-04,-8.9214280623e-07,-1.2762876225e-06,3.0881488096e-07,1.2075298106e-06,-3.6658706377e-08,2.4087295495e-06,-1.6055346822e-05,-9.1748713569e-04,8.4269662921e-03
-9.3750000000e-01,3.1117202273e-03,-1.6578730230e-02,2.8314834699e+02,1.1244923932e-04,4.6802521986e-04,-3.9981227408e-07,-2.2446703918e-06,6.6552513429e-08,3.8847901332e-07,-3.9410924315e-08,1.1316390899e-06,-1.4215557030e-05,-9.8846449827e-04,1.4044943820e-02
-1.3125000000e+00,1.0398151682e-03,-1.6348247248e-02,2.8314835464e+02,8.9157390097e-05,4.3814200064e-04,-2.7741978238e-07,-3.0882284200e-06,-1.8340591170e-08,4.0660602725e-08,-6.8346129683e-08,4.4902230029e-07,-1.2813902669e-05,-1.0593445896e-03,1.9662921348e-02
-1.6875000000e+00,2.0424053588e-04,-1.6151752239e-02,2.8314835969e+02,7.5805002498e-05,4.1512744289e-04,-2.1874488671e-07,-3.8354237773e-06,-7.9943272957e-08,-5.0078495232e-08,-8.5846099314e-08,2.0870629542e-07,-1.1750154664e-05,-1.0885671569e-03,2.5280898876e-02
-2.0625000000e+00,-6.2269208636e-04,-1.5955443429e-02,2.8314836351e+02,6.9546295202e-05,3.9575054686e-04,-1.8390804256e-07,-4.4835749660e-06,-1.1879944637e-07,-1.7231112603e-08,-8.9399768540e-08,3.0391962148e-08,-1.0876352096e-05,-1.1147504289e-03,3.0898876404e-02
-2.4375000000e+00,-1.0515307840e-03,-1.5781086888e-02,2.8314836629e+02,6.4634045678e-05,3.7955886416e-04,-1.5941066901e-07,-5.0855604647e-06,-1.4606086038e-07,6.7710595460e-08,-8.1590035544e-08,-5.3773955444e-08,-1.0160504280e-05,-1.1292897658e-03,3.6516853933e-02
-2.8125000000e+00,-1.4194655592e-03,-1.5614320179e-02,2.8314836854e+02,6.1689366210e-05,3.6546811407e-04,-1.3947762073e-07,-5.6281643747e-06,-1.5795951337e-07,1.6765376216e-07,-6.6676642679e-08,-1.1831446483e-07,-9.5528772672e-06,-1.1413265003e-03,4.2134831461e-02
-3.1875000000e+00,-1.6243292793e-03,-1.5463129814e-02,2.8314837029e+02,5.8971591402e-05,3.5328026922e-04,-1.2331495529e-07,-6.1316604651e-06,-1.6129692482e-07,2.5926276272e-07,-5.0044059190e-08,-1.5078563131e-07,-9.0368882543e-06,-1.1490631944e-03,4.7752808989e-02
-3.5625000000e+00,-1.7854941871e-03,-1.5320143847e-02,2.8314837171e+02,5.6979700040e-05,3.4245057290e-04,-1.0977863708e-07,-6.5900637226e-06,-1.5699058046e-07,3.3216548281e-07,-3.3687981542e-08,-1.7402318997e-07,-8.5886262865e-06,-1.1552774354e-03,5.3370786517e-02
-3.9375000000e+00,-1.8718868919e-03,-1.5187899372e-02,2.8314837290e+02,5.5108190131e-05,3.3284463349e-04,-9.8622604843e-08,-7.0104162683e-06,-1.4845563932e-07,3.8706414719e-07,-1.8437892608e-08,-1.8420488804e-07,-8.1984883117e-06,-1.1595567382e-03,5.8988764045e-02
