z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.8750000000e-01,5.4925796673e-02,-2.2822031389e-02,2.8308411549e+02,3.3385115308e-03,7.8475169958e-04,-1.6325593214e-06,-2.1041717543e-07,2.7612563233e-06,1.0450840997e-06,-2.1041717543e-07,2.1776592773e-04,-2.9941702470e-05,-2.0626514312e-03,2.7472527473e-03
-5.6250000000e-01,3.6453384945e-02,-2.2590748522e-02,2.8308753138e+02,1.6418441070e-03,7.4287158635e-04,-1.8136141978e-06,-1.5734892990e-06,1.4633431474e-06,-4.9277153482e-07,-2.9604692235e-07,8.3135636706e-05,-2.7354541851e-05,-2.1171998732e-03,8.2417582418e-03
-9.3750000000e-01,2.9596991985e-02,-2.2136863197e-02,2.8308917353e+02,1.1365886749e-03,6.9986476457e-04,-8.6737472687e-07,-2.3424257724e-06,8.4638699344e-07,-5.9126976695e-07,-2.6150591149e-07,5.0125178305e-05,-2.4854259685e-05,-2.1386267394e-03,1.3736263736e-02
-1.3125000000e+00,2.3894717661e-02,-2.1765752750e-02,2.8309041114e+02,8.1288845426e-04,6.6596613000e-04,-6.3801755988e-07,-3.1430936403e-06,6.6153625808e-07,-5.3014787116e-07,-2.5153371455e-07,3.2418831726e-05,-2.2922122884e-05,-2.1495706599e-03,1.9230769231e-02
-1.6875000000e+00,1.9825691257e-02,-2.1401137674e-02,2.8309139706e+02,6.1851584795e-04,6.3632272888e-04,-4.8462908335e-07,-3.7519002830e-06,5.9307540527e-07,-4.2885463690e-07,-2.4089121674e-07,2.2866627812e-05,-2.1292789985e-05,-2.1549781925e-03,2.4725274725e-02
-2.0625000000e+00,1.6423097347e-02,-2.1066278863e-02,2.8309222724e+02,4.8392749914e-04,6.1093341569e-04,-3.8588722236e-07,-4.2828829539e-06,5.4655218394e-07,-3.3047111410e-07,-2.2431994379e-07,1.6824806585e-05,-1.9938297375e-05,-2.1583526274e-03,3.0219780220e-02
-2.4375000000e+00,1.3714257717e-02,-2.0745012523e-02,2.8309293460e+02,3.9167039857e-04,5.8844578637e-04,-3.0943003300e-07,-4.7341152757e-06,4.8692758897e-07,-2.3793042191e-07,-1.9966553755e-07,1.2903055629e-05,-1.8779721873e-05,-2.1606484644e-03,3.5714285714e-02
-2.8125000000e+00,1.1452584162e-02,-2.0443120529e-02,2.8309354121e+02,3.2540983974e-04,5.6850449741e-04,-2.5271168476e-07,-5.1363054161e-06,4.2401892796e-07,-1.5484939033e-07,-1.7107707972e-07,1.0187224852e-05,-1.7780207561e-05,-2.1625058266e-03,4.1208791209e-02
-3.1875000000e+00,9.5922035555e-03,-2.0158919461e-02,2.8309406167e+02,2.7726126354e-04,5.5063941613e-04,-2.0898338000e-07,-5.4902267475e-06,3.6092317137e-07,-8.1562757403e-08,-1.4211639620e-07,8.2453116841e-06,-1.6907243683e-05,-2.1641303253e-03,4.6703296703e-02
-3.5625000000e+00,8.0335230108e-03,-1.9893283205e-02,2.8309450898e+02,2.4129955663e-04,5.3452858237e-04,-1.7535931141e-07,-5.8027296185e-06,3.0287827428e-07,-1.9353629185e-08,-1.1615171773e-07,6.8012328589e-06,-1.6136877423e-05,-2.1656588067e-03,5.2197802198e-02
-3.9375000000e+00,6.7330742573e-03,-1.9645054002e-02,2.8309489368e+02,2.1404969734e-04,5.1988531788e-04,-1.4934316576e-07,-6.0771051742e-06,2.5121230201e-07,3.0835653337e-08,-9.3556528282e-08,5.7030333723e-06,-1.5450564419e-05,-2.1671268053e-03,5.7692307692e-02
-4.3125000000e+00,5.6380947389e-03,-1.9412672819e-02,2.8309522501e+02,1.9295301251e-04,5.0648095061e-04,-1.2908083796e-07,-6.3153116083e-06,2.0927497027e-07,6.8511213447e-08,-7.3013298101e-08,4.8476247518e-06,-1.4834484226e-05,-2.1685548687e-03,6.3186813187e-02
-4.6875000000e+00,4.7144040848e-03,-1.9193502215e-02,2.8309551071e+02,1.7632670266e-04,4.9409294139e-04,-1.1303849091e-07,-6.5233347469e-06,1.7659244920e-07,9.4716216750e-08,-5.4833732435e-08,4.1683025368e-06,-1.4275355759e-05,-2.1699437723e-03,6.8681318681e-02
-5.0625000000e+00,3.9292555319e-03,-1.8986450204e-02,2.8309575811e+02,1.6291540931e-04,4.8255392460e-04,-1.0029527990e-07,-6.7056181434e-06,1.5135042994e-07,1.1312599535e-07,-3.9157164829e-08,3.6173482548e-06,-1.3762407665e-05,-2.1712920870e-03,7.4175824176e-02
-5.4375000000e+00,3.2607308395e-03,-1.8791525220e-02,2.8309597320e+02,1.5188233587e-04,4.7183266366e-04,-8.9997808671e-08,-6.8668629733e-06,1.3178273991e-07,1.2558212396e-07,-2.6604026592e-08,3.1641558008e-06,-1.3292888412e-05,-2.1725933258e-03,7.9670329670e-02
-5.8125000000e+00,2.6870031927e-03,-1.8606570342e-02,2.8309616118e+02,1.4269671109e-04,4.6178546348e-04,-8.1561194215e-08,-7.0066250954e-06,1.1692043748e-07,1.3233270090e-07,-1.7604076674e-08,2.7880573586e-06,-1.2858207853e-05,-2.1738491187e-03,8.5164835165e-02
