z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.8750000000e-01,2.1170202621e-02,-1.7529183718e-02,2.8309947205e+02,7.0754254374e-04,6.6736290486e-04,-1.5099881018e-06,5.2288077786e-08,1.6388775313e-06,4.9575911682e-06,5.2288077786e-08,2.5218638436e-05,-2.4171338452e-05,-6.8737327333e-04,2.8901734104e-03
-5.6250000000e-01,7.6348661285e-03,-1.7304453609e-02,2.8310170876e+02,2.7792873078e-04,6.0258422180e-04,-1.3880259595e-06,-1.4265435550e-06,5.3456476083e-07,1.3989847281e-06,-9.2695047628e-08,5.6766759078e-06,-2.0887183655e-05,-1.1714296451e-03,8.6705202312e-03
-9.3750000000e-01,5.2035655597e-03,-1.7112543797e-02,2.8310253135e+02,1.8534065964e-04,5.5620721920e-04,-6.1624085588e-07,-2.4153277739e-06,1.5360139811e-07,4.5855500512e-07,-7.7924600719e-08,2.8596373244e-06,-1.8540933330e-05,-1.2633745992e-03,1.4450867052e-02
-1.3125000000e+00,2.5932149924e-03,-1.6895397369e-02,2.8310309405e+02,1.4421703352e-04,5.2116983280e-04,-4.2586121408e-07,-3.2844468605e-06,2.0290048676e-08,3.0372008398e-08,-1.0352144899e-07,1.4011681320e-06,-1.6792218176e-05,-1.3481040202e-03,2.0231213873e-02
-1.6875000000e+00,1.4261333267e-03,-1.6698284588e-02,2.8310347165e+02,1.2235253698e-04,4.9405114856e-04,-3.3181977352e-07,-4.0364347344e-06,-7.0499712997e-08,-9.0856533187e-08,-1.2154305784e-07,8.1890559878e-07,-1.5456251224e-05,-1.3860794533e-03,2.6011560694e-02
-2.0625000000e+00,3.3460446284e-04,-1.6504912176e-02,2.8310375216e+02,1.1082870033e-04,4.7148567567e-04,-2.7686765341e-07,-4.6884795425e-06,-1.2631073740e-07,-6.0559666083e-08,-1.2319347096e-07,4.1204857555e-07,-1.4366901403e-05,-1.4187153283e-03,3.1791907514e-02
-2.4375000000e+00,-2.9338696835e-04,-1.6325397230e-02,2.8310396079e+02,1.0276438865e-04,4.5249786202e-04,-2.3872100552e-07,-5.2804494561e-06,-1.6554760045e-07,4.0065695830e-08,-1.1138528810e-07,1.9196201000e-07,-1.3468247231e-05,-1.4383051421e-03,3.7572254335e-02
-2.8125000000e+00,-8.2299050555e-04,-1.6153113385e-02,2.8310412270e+02,9.7708392470e-05,4.3598691362e-04,-2.0850664487e-07,-5.8172590053e-06,-1.8479072942e-07,1.6445284687e-07,-9.2611032529e-08,2.7928858935e-08,-1.2704840194e-05,-1.4544074424e-03,4.3352601156e-02
-3.1875000000e+00,-1.1580963213e-03,-1.5990952020e-02,2.8310425038e+02,9.3540673534e-05,4.2145840978e-04,-1.8439615117e-07,-6.3138477109e-06,-1.9197163207e-07,2.8393667227e-07,-7.1865586469e-08,-7.1455197364e-08,-1.2047973336e-05,-1.4655817164e-03,4.9132947977e-02
-3.5625000000e+00,-1.4279024736e-03,-1.5833580218e-02,2.8310435395e+02,9.0463759946e-05,4.0837037816e-04,-1.6434528635e-07,-6.7685569848e-06,-1.8787380590e-07,3.8257488018e-07,-5.1898864845e-08,-1.4598076551e-07,-1.1469177820e-05,-1.4747400228e-03,5.4913294798e-02
-3.9375000000e+00,-1.6053213348e-03,-1.5683659846e-02,2.8310443969e+02,8.7718783628e-05,3.9657158822e-04,-1.4781889827e-07,-7.1889962593e-06,-1.7766680412e-07,4.5796489606e-07,-3.3972435930e-08,-1.9298016941e-07,-1.0957070026e-05,-1.4816150888e-03,6.0693641618e-02
-4.3125000000e+00,-1.7439544128e-03,-1.5540421841e-02,2.8310451180e+02,8.5478040202e-05,3.8586982648e-04,-1.3407364369e-07,-7.5767239938e-06,-1.6321858772e-07,5.1026308936e-07,-1.9243002576e-08,-2.2756528286e-07,-1.0500800313e-05,-1.4872662900e-03,6.6473988439e-02
-4.6875000000e+00,-1.8366590194e-03,-1.5406055333e-02,2.8310457401e+02,8.3448888964e-05,3.7615500533e-04,-1.2256553351e-07,-7.9349419450e-06,-1.4683722843e-07,5.4336227743e-07,-7.0685577745e-09,-2.4919847993e-07,-1.0092858307e-05,-1.4917013342e-03,7.2254335260e-02
-5.0625000000e+00,-1.9087889717e-03,-1.5278434680e-02,2.8310462844e+02,8.1724732165e-05,3.6721308776e-04,-1.1287495645e-07,-8.2618864092e-06,-1.2956396849e-07,5.5944015348e-07,3.2512523951e-09,-2.6463908345e-07,-9.7219416095e-06,-1.4953781905e-03,7.8034682081e-02
-5.4375000000e+00,-1.9575778074e-03,-1.5158767518e-02,2.8310467684e+02,8.0155974842e-05,3.5900032662e-04,-1.0463700404e-07,-8.5628960270e-06,-1.1183971041e-07,5.6189791411e-07,1.1532872375e-08,-2.7374527316e-07,-9.3846923947e-06,-1.4983315958e-03,8.3815028902e-02
-5.8125000000e+00,-1.9963092750e-03,-1.5045743798e-02,2.8310472037e+02,7.8794277375e-05,3.5139373161e-04,-9.7543042178e-08,-8.8391089581e-06,-9.4079493588e-08,5.5312884979e-07,1.7832482485e-08,-2.8015973858e-07,-9.0762693559e-06,-1.5007845469e-03,8.9595375723e-02
-6.1875000000e+00,-2.0233368612e-03,-1.4939052066e-02,2.8310475999e+02,7.7559128918e-05,3.4432082286e-04,-9.1382002735e-08,-9.0925301819e-06,-7.6915274294e-08,5.3609701925e-07,2.2691193434e-08,-2.8363073213e-07,-8.7926210938e-06,-1.5027718754e-03,9.5375722543e-02
-6.5625000000e+00,-2.0456431673e-03,-1.4838665396e-02,2.8310479622e+02,7.6469503647e-05,3.3772489957e-04,-8.5975974695e-08,-9.3245988192e-06,-6.0935106057e-08,5.1183580599e-07,2.6120686583e-08,-2.8609215150e-07,-8.5309994009e-06,-1.5044134022e-03,1.0115606936e-01
-6.9375000000e+00,-2.0610784268e-03,-1.4744200276e-02,2.8310482984e+02,7.5457941017e-05,3.3155662855e-04,-8.1207906443e-08,-9.5360026041e-06,-4.6335692668e-08,4.8302293578e-07,2.7911517014e-08,-2.8709588443e-07,-8.2889986467e-06,-1.5057273505e-03,1.0693641618e-01
-7.3125000000e+00,-2.0742943540e-03,-1.4654841848e-02,2.8310486093e+02,7.4544877447e-05,3.2576060712e-04,-7.6970016748e-08,-9.7273643684e-06,-3.2539046074e-08,4.5263734801e-07,2.9039329909e-08,-2.8769139489e-07,-8.0636719549e-06,-1.5067884167e-03,1.1271676301e-01
-7.6875000000e+00,-2.0843718191e-03,-1.4569780006e-02,2.8310488989e+02,7.3701141987e-05,3.2027071631e-04,-7.3143315610e-08,-9.8994581931e-06,-1.8978391639e-08,4.2038104638e-07,2.9908031193e-08,-2.8755974672e-07,-7.8523915134e-06,-1.5076212298e-03,1.1849710983e-01
-8.0625000000e+00,-2.0936452139e-03,-1.4488224181e-02,2.8310491699e+02,7.2934194102e-05,3.1505508039e-04,-6.9686274911e-08,-1.0054862525e-05,-6.3901574932e-09,3.8772186195e-07,3.0080208100e-08,-2.8734364349e-07,-7.6538729041e-06,-1.5082715616e-03,1.2427745665e-01
-8.4375000000e+00,-2.1012408765e-03,-1.4411023824e-02,2.8310494233e+02,7.2218846623e-05,3.1012295492e-04,-6.6506981919e-08,-1.0196126430e-05,4.6970207157e-09,3.5540317252e-07,2.9126453234e-08,-2.8695415251e-07,-7.4680331734e-06,-1.5087563440e-03,1.3005780347e-01
-8.8125000000e+00,-2.1091425404e-03,-1.4337218576e-02,2.8310496626e+02,7.1579982672e-05,3.0543768018e-04,-6.3591705261e-08,-1.0322063615e-05,1.5088662664e-08,3.2492703977e-07,2.7459569288e-08,-2.8687625794e-07,-7.2935150035e-06,-1.5091056581e-03,1.3583815029e-01
-9.1875000000e+00,-2.1168834746e-03,-1.4266051446e-02,2.8310498883e+02,7.1001742051e-05,3.0096192572e-04,-6.0898246777e-08,-1.0433880106e-05,2.5527901377e-08,2.9663705665e-07,2.5413933001e-08,-2.8695182299e-07,-7.1282187043e-06,-1.5093328000e-03,1.4161849711e-01
-9.5625000000e+00,-2.1243590954e-03,-1.4197513259e-02,2.8310501015e+02,7.0484792033e-05,2.9667529297e-04,-5.8399015511e-08,-1.0532802610e-05,3.5735246196e-08,2.6911448655e-07,2.3089367621e-08,-2.8706604468e-07,-6.9708164540e-06,-1.5094553176e-03,1.4739884393e-01
