z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.8750000000e-01,4.7467948142e-02,-2.1001390255e-02,2.8312004577e+02,2.5601578091e-03,6.7830696697e-04,-1.5847476680e-06,-2.4108405698e-07,2.6734014129e-06,1.2681628338e-06,-2.4108405698e-07,1.4981890087e-04,-2.4170753553e-05,-1.6201421616e-03,2.9069767442e-03
-5.6250000000e-01,2.9593298403e-02,-2.0797051034e-02,2.8312141476e+02,1.1723341509e-03,6.3484972709e-04,-1.7203392524e-06,-1.5279575751e-06,1.3709075263e-06,-3.6122942657e-07,-3.1139421044e-07,5.2786524474e-05,-2.1666754949e-05,-1.7542208366e-03,8.7209302326e-03
-9.3750000000e-01,2.3383194161e-02,-2.0415626080e-02,2.8312206712e+02,7.8887100283e-04,5.9458779979e-04,-7.9551524476e-07,-2.2060161093e-06,7.4327024954e-07,-4.8125868811e-07,-2.5813527174e-07,3.0833521105e-05,-1.9454528922e-05,-1.8002429832e-03,1.4534883721e-02
-1.3125000000e+00,1.8280019145e-02,-2.0114952445e-02,2.8312255004e+02,5.5599740216e-04,5.6377206409e-04,-5.6657797920e-07,-2.9061198367e-06,5.4681280181e-07,-4.4164887689e-07,-2.3908288023e-07,1.9652428153e-05,-1.7790461050e-05,-1.8300351123e-03,2.0348837209e-02
-1.6875000000e+00,1.4822492970e-02,-1.9828128361e-02,2.8312292750e+02,4.2414334705e-04,5.3803891514e-04,-4.2046902742e-07,-3.4352549991e-06,4.6770952219e-07,-3.5416510697e-07,-2.2101850510e-07,1.3878535227e-05,-1.6447443060e-05,-1.8471915047e-03,2.6162790698e-02
-2.0625000000e+00,1.1995517978e-02,-1.9576422185e-02,2.8312323806e+02,3.3661353258e-04,5.1679239135e-04,-3.2943486827e-07,-3.8981671137e-06,4.1807855259e-07,-2.6843092457e-07,-1.9926965845e-07,1.0295580865e-05,-1.5366765884e-05,-1.8595390775e-03,3.1976744186e-02
-2.4375000000e+00,9.8322940905e-03,-1.9345899188e-02,2.8312349505e+02,2.7882946440e-04,4.9878107201e-04,-2.6229841611e-07,-4.2867267761e-06,3.6476481372e-07,-1.8665893891e-07,-1.7437359737e-07,7.9962247483e-06,-1.4476561110e-05,-1.8682105856e-03,3.7790697674e-02
-2.8125000000e+00,8.0739127006e-03,-1.9135255128e-02,2.8312370961e+02,2.3829701349e-04,4.8320899010e-04,-2.1361291061e-07,-4.6251608440e-06,3.1072950328e-07,-1.1083291728e-07,-1.4723021381e-07,6.3962199215e-06,-1.3727174012e-05,-1.8748906575e-03,4.3604651163e-02
-3.1875000000e+00,6.6783759699e-03,-1.8939793977e-02,2.8312388867e+02,2.0922434203e-04,4.6957368674e-04,-1.7680687517e-07,-4.9155344071e-06,2.5723899383e-07,-4.2706847209e-08,-1.1920073727e-07,5.2439866955e-06,-1.3087939778e-05,-1.8800546467e-03,4.9418604651e-02
-3.5625000000e+00,5.5417570641e-03,-1.8760976289e-02,2.8312403857e+02,1.8767232107e-04,4.5753657126e-04,-1.4907111953e-07,-5.1726326032e-06,2.1098031740e-07,1.2926182736e-08,-9.4830485358e-08,4.3831932265e-06,-1.2535040705e-05,-1.8842251900e-03,5.5232558140e-02
-3.9375000000e+00,4.6223281365e-03,-1.8595960986e-02,2.8312416474e+02,1.7123468615e-04,4.4678444653e-04,-1.2770463239e-07,-5.3947682178e-06,1.7244729941e-07,5.6315772401e-08,-7.4224893227e-08,3.7245430553e-06,-1.2051300724e-05,-1.8876229827e-03,6.1046511628e-02
-4.3125000000e+00,3.8652284655e-03,-1.8442714246e-02,2.8312427172e+02,1.5836096452e-04,4.3704818022e-04,-1.1120734477e-07,-5.5868884430e-06,1.4242786863e-07,8.8768238456e-08,-5.7170019792e-08,3.2066163687e-06,-1.1620770916e-05,-1.8904644892e-03,6.6860465116e-02
-4.6875000000e+00,3.2403001712e-03,-1.8298903590e-02,2.8312436306e+02,1.4796720059e-04,4.2816105976e-04,-9.8169298794e-08,-5.7527811211e-06,1.1987275067e-07,1.1038896552e-07,-4.3061919338e-08,2.7909691554e-06,-1.1234464032e-05,-1.8928671257e-03,7.2674418605e-02
-5.0625000000e+00,2.7175395820e-03,-1.8162203867e-02,2.8312444168e+02,1.3943831039e-04,4.1991856121e-04,-8.7667251584e-08,-5.8950057921e-06,1.0354525771e-07,1.2297971494e-07,-3.1118716204e-08,2.4530032120e-06,-1.0882277669e-05,-1.8949255268e-03,7.8488372093e-02
-5.4375000000e+00,2.2769516265e-03,-1.8032088592e-02,2.8312451012e+02,1.3227305447e-04,4.1224887660e-04,-7.9044771731e-08,-6.0185604552e-06,9.1877074803e-08,1.3032344405e-07,-2.0800358297e-08,2.1734570529e-06,-1.0559486360e-05,-1.8967004366e-03,8.4302325581e-02
-5.8125000000e+00,1.8995097745e-03,-1.7908233781e-02,2.8312457015e+02,1.2614984620e-04,4.0508827510e-04,-7.1902826172e-08,-6.1255890046e-06,8.3594138664e-08,1.3314605645e-07,-1.2135782244e-08,1.9388672286e-06,-1.0262531221e-05,-1.8982498143e-03,9.0116279070e-02
-6.1875000000e+00,1.5745930432e-03,-1.7787785956e-02,2.8312462328e+02,1.2086754404e-04,3.9830302581e-04,-6.5995463334e-08,-6.2167966559e-06,7.8767322931e-08,1.3221564658e-07,-5.1920444062e-09,1.7403641090e-06,-9.9857149218e-06,-1.8996058137e-03,9.5930232558e-02
-6.5625000000e+00,1.2918056381e-03,-1.7672085739e-02,2.8312467061e+02,1.1626964813e-04,3.9191741991e-04,-6.0972431728e-08,-6.2958822818e-06,7.5480309301e-08,1.2912525390e-07,-1.3123345369e-10,1.5705237953e-06,-9.7287428610e-06,-1.9007986995e-03,1.0174418605e-01
-6.9375000000e+00,1.0428350994e-03,-1.7559172943e-02,2.8312471332e+02,1.1220844105e-04,3.8581983699e-04,-5.6587964744e-08,-6.3642537928e-06,7.3374672714e-08,1.2453315394e-07,2.9850630870e-09,1.4236046032e-06,-9.4868716547e-06,-1.9018517405e-03,1.0755813953e-01
-7.3125000000e+00,8.2155849608e-04,-1.7447421133e-02,2.8312475180e+02,1.0859841274e-04,3.7991574258e-04,-5.2781885144e-08,-6.4225869345e-06,7.2526257162e-08,1.1860720625e-07,4.8424821546e-09,1.2957711296e-06,-9.2558748625e-06,-1.9027826740e-03,1.1337209302e-01
