z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.8750000000e-01,5.1995596465e-02,-2.6152751657e-02,2.8314758190e+02,3.0346140986e-03,8.9285305362e-04,-1.5804073289e-06,-2.0263530763e-07,2.5631474268e-06,1.1348464639e-06,-2.0263530763e-07,1.9132254773e-04,-3.4304604926e-05,-1.9648383359e-03,3.1250000000e-03
-5.6250000000e-01,3.4121379187e-02,-2.5962069995e-02,2.8314758164e+02,1.4851774178e-03,8.4813709259e-04,-1.7301724019e-06,-1.6259674173e-06,1.2737700667e-06,-3.9258944234e-07,-2.7676134472e-07,7.3128212117e-05,-3.1193737595e-05,-2.0991708016e-03,9.3750000000e-03
-9.3750000000e-01,2.7794547077e-02,-2.5579019259e-02,2.8314758118e+02,1.0406188110e-03,8.0484449255e-04,-8.0113938649e-07,-2.4310441469e-06,7.0095629775e-07,-4.9401654651e-07,-2.2434386274e-07,4.4899085426e-05,-2.8432441351e-05,-2.1458404905e-03,1.5625000000e-02
-1.3125000000e+00,2.2641305420e-02,-2.5264652465e-02,2.8314758068e+02,7.6108007534e-04,7.7081290126e-04,-5.7490349477e-07,-3.2695194007e-06,5.3703571942e-07,-4.6252815979e-07,-2.0987023642e-07,2.9860522939e-05,-2.6307017197e-05,-2.1757874723e-03,2.1875000000e-02
-1.6875000000e+00,1.9126071430e-02,-2.4965198933e-02,2.8314758008e+02,5.9755695854e-04,7.4188395296e-04,-4.2895709304e-07,-3.9367800837e-06,4.7998456865e-07,-3.9529195744e-07,-1.9725910037e-07,2.1822335569e-05,-2.4570731759e-05,-2.1930918020e-03,2.8125000000e-02
-2.0625000000e+00,1.6254772672e-02,-2.4698449170e-02,2.8314757946e+02,4.8479798323e-04,7.1781488504e-04,-3.3747865471e-07,-4.5347739362e-06,4.4319035257e-07,-3.2291340164e-07,-1.8025658866e-07,1.6678080507e-05,-2.3168892313e-05,-2.2054813243e-03,3.4375000000e-02
-2.4375000000e+00,1.4048771104e-02,-2.4450758288e-02,2.8314757880e+02,4.0786952018e-04,6.9716073073e-04,-2.6915762033e-07,-5.0595828770e-06,3.9587160865e-07,-2.4728456864e-07,-1.5788903740e-07,1.3305667174e-05,-2.2005901677e-05,-2.2141559867e-03,4.0625000000e-02
-2.8125000000e+00,1.2251968804e-02,-2.4226907197e-02,2.8314757811e+02,3.5200353083e-04,6.7945625147e-04,-2.1963770852e-07,-5.5362889534e-06,3.4678955957e-07,-1.7505736915e-07,-1.3355952953e-07,1.0923819969e-05,-2.1035938613e-05,-2.2207809069e-03,4.6875000000e-02
-3.1875000000e+00,1.0817695407e-02,-2.4018114246e-02,2.8314757742e+02,3.1086157249e-04,6.6379473399e-04,-1.8238762879e-07,-5.9635969319e-06,2.9873244559e-07,-1.1121589808e-07,-1.0828482208e-07,9.1903021874e-06,-2.0202165726e-05,-2.2258546463e-03,5.3125000000e-02
-3.5625000000e+00,9.6389474931e-03,-2.3826731549e-02,2.8314757671e+02,2.7936773946e-04,6.5004800365e-04,-1.5426884588e-07,-6.3506286692e-06,2.5543678332e-07,-5.8361575552e-08,-8.4577968509e-08,7.8751995142e-06,-1.9488227849e-05,-2.2299274324e-03,5.9375000000e-02
-3.9375000000e+00,8.6755209350e-03,-2.3646535423e-02,2.8314757599e+02,2.5481314460e-04,6.3766214271e-04,-1.3249271702e-07,-6.6999040073e-06,2.1754949060e-07,-1.6696081174e-08,-6.4126025028e-08,6.8549411193e-06,-1.8861275407e-05,-2.2332156089e-03,6.5625000000e-02
-4.3125000000e+00,7.8731257357e-03,-2.3475107687e-02,2.8314757523e+02,2.3513909203e-04,6.2633798634e-04,-1.1553940314e-07,-7.0156020827e-06,1.8768460318e-07,1.2724499828e-08,-4.7348677139e-08,6.0429081608e-06,-1.8301871183e-05,-2.2359275269e-03,7.1875000000e-02
-4.6875000000e+00,7.2005680545e-03,-2.3309081522e-02,2.8314757448e+02,2.1909362669e-04,6.1584001190e-04,-1.0211840648e-07,-7.3009333405e-06,1.6483178050e-07,3.1752616197e-08,-3.3709643362e-08,5.3853477420e-06,-1.7797394614e-05,-2.2381773384e-03,7.8125000000e-02
-5.0625000000e+00,6.6289180799e-03,-2.3148031620e-02,2.8314757369e+02,2.0576094484e-04,6.0602643212e-04,-9.1229551502e-08,-7.5634067677e-06,1.4748584702e-07,4.3772349586e-08,-2.3571793842e-08,4.8432897619e-06,-1.7337319769e-05,-2.2400575113e-03,8.4375000000e-02
-5.4375000000e+00,6.1387092549e-03,-2.2990076056e-02,2.8314757290e+02,1.9455466317e-04,5.9675389714e-04,-8.2323299724e-08,-7.8051302562e-06,1.3402987903e-07,5.1479010882e-08,-1.5941671298e-08,4.3913490666e-06,-1.6913305451e-05,-2.2416270285e-03,9.0625000000e-02
-5.8125000000e+00,5.7119749893e-03,-2.2834593191e-02,2.8314757206e+02,1.8496251015e-04,5.8792888953e-04,-7.4915748420e-08,-8.0279993145e-06,1.2375034912e-07,5.5510597535e-08,-1.0240788784e-08,4.0084576617e-06,-1.6519271959e-05,-2.2429408085e-03,9.6875000000e-02
-6.1875000000e+00,5.3368287616e-03,-2.2680271594e-02,2.8314757118e+02,1.7663727647e-04,5.7944557025e-04,-6.8738170646e-08,-8.2328825943e-06,1.1670493803e-07,5.6701707828e-08,-5.5312747310e-09,3.6795000333e-06,-1.6149126113e-05,-2.2440381221e-03,1.0312500000e-01
-6.5625000000e+00,5.0029186368e-03,-2.2525693941e-02,2.8314757027e+02,1.6936474662e-04,5.7118084479e-04,-6.3472292416e-08,-8.4215741212e-06,1.1123244369e-07,5.5780318754e-08,-1.2876012002e-09,3.3950066824e-06,-1.5795838002e-05,-2.2449517534e-03,1.0937500000e-01
-6.9375000000e+00,4.7026974142e-03,-2.2371382415e-02,2.8314756932e+02,1.6294111104e-04,5.6314673326e-04,-5.8967901834e-08,-8.5980479957e-06,1.0722969643e-07,5.3378591977e-08,1.9152937220e-09,3.1462130618e-06,-1.5459252983e-05,-2.2457059314e-03,1.1562500000e-01
-7.3125000000e+00,4.4293795004e-03,-2.2216120200e-02,2.8314756830e+02,1.5720530569e-04,5.5524821229e-04,-5.5067704114e-08,-8.7640657735e-06,1.0432508832e-07,4.9973815819e-08,3.5022939278e-09,2.9256078279e-06,-1.5133954040e-05,-2.2463234786e-03,1.2187500000e-01
-7.6875000000e+00,4.1793375954e-03,-2.2060447450e-02,2.8314756727e+02,1.5205365584e-04,5.4750065574e-04,-5.1626974761e-08,-8.9207364149e-06,1.0157838896e-07,4.6181722638e-08,3.7530742773e-09,2.7289506017e-06,-1.4820239628e-05,-2.2468203015e-03,1.2812500000e-01
-8.0625000000e+00,3.9482823551e-03,-2.1904405059e-02,2.8314756618e+02,1.4739226731e-04,5.3986148324e-04,-4.8584159867e-08,-9.0685297272e-06,9.9538645296e-08,4.2442791408e-08,3.2932490515e-09,2.5524805183e-06,-1.4515215757e-05,-2.2472108761e-03,1.3437500000e-01
-8.4375000000e+00,3.7331840088e-03,-2.1748448944e-02,2.8314756504e+02,1.4315974682e-04,5.3234523238e-04,-4.5850256659e-08,-9.2077599382e-06,9.8099281149e-08,3.8896489615e-08,2.8123162384e-09,2.3928131063e-06,-1.4219087046e-05,-2.2475080247e-03,1.4062500000e-01
