z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.8750000000e-01,1.7882150172e-02,-6.2229827276e-03,2.8303894763e+02,4.5232738928e-04,2.0010908337e-04,-3.1548404736e-07,1.2369110881e-08,1.1435916993e-06,1.5258686596e-06,1.2369110881e-08,1.2600638087e-05,-3.2844093648e-06,-3.2587939383e-04,3.0120481928e-03
-5.6250000000e-01,9.4685313022e-03,-6.0953555877e-03,2.8304829393e+02,2.0866977030e-04,1.8282258643e-04,-3.1104815145e-07,-5.4968818332e-07,5.2858739883e-07,4.1905008302e-07,-2.4491300579e-08,4.2171062413e-06,-2.9372792625e-06,-3.7457346949e-04,9.0361445783e-03
-9.3750000000e-01,7.4310155817e-03,-5.9901893883e-03,2.8305146771e+02,1.5474363608e-04,1.6843705701e-04,-1.5311776541e-07,-9.0733364787e-07,2.1601489888e-07,1.0405298115e-07,-2.7634257492e-08,2.6540572812e-06,-2.6489674581e-06,-3.8950841147e-04,1.5060240964e-02
-1.3125000000e+00,5.5087024862e-03,-5.8837471973e-03,2.8305363524e+02,1.2180203063e-04,1.5812443077e-04,-1.1423057123e-07,-1.2053620135e-06,8.6326894069e-08,-4.6134628306e-08,-3.2825664487e-08,1.7376312716e-06,-2.4386016730e-06,-4.0129772946e-04,2.1084337349e-02
-1.6875000000e+00,4.4461595227e-03,-5.7928954167e-03,2.8305502493e+02,1.0473384059e-04,1.5031563425e-04,-9.2903094367e-08,-1.4512502942e-06,2.0795726694e-08,-8.6422008168e-08,-3.3394003187e-08,1.2883215217e-06,-2.2785709856e-06,-4.0866200903e-04,2.7108433735e-02
-2.0625000000e+00,3.5055879331e-03,-5.7074280933e-03,2.8305605697e+02,9.2997103011e-05,1.4396801436e-04,-8.0589885967e-08,-1.6614898703e-06,-6.2296704614e-09,-6.8821883329e-08,-3.0642462625e-08,9.6834032201e-07,-2.1480803564e-06,-4.1505163682e-04,3.3132530120e-02
-2.4375000000e+00,2.8462324559e-03,-5.6319423427e-03,2.8305681421e+02,8.5268263509e-05,1.3867055921e-04,-7.1650179496e-08,-1.8488967208e-06,-1.9995335185e-08,-2.7365286201e-08,-2.6569172847e-08,7.6090811738e-07,-2.0404957084e-06,-4.2023201223e-04,3.9156626506e-02
-2.8125000000e+00,2.2759073686e-03,-5.5599755234e-03,2.8305741059e+02,7.9540060499e-05,1.3407313026e-04,-6.4826986363e-08,-2.0135995381e-06,-2.5094585353e-08,1.8707743400e-08,-2.1767158288e-08,6.0060632971e-07,-1.9468937309e-06,-4.2494370541e-04,4.5180722892e-02
-3.1875000000e+00,1.8329835323e-03,-5.4931708902e-03,2.8305787804e+02,7.5251928911e-05,1.3002588502e-04,-5.9328066584e-08,-2.1611702959e-06,-2.6593999649e-08,6.1761297314e-08,-1.6726069586e-08,4.8158257901e-07,-1.8646459577e-06,-4.2913308482e-04,5.1204819277e-02
-3.5625000000e+00,1.4500508581e-03,-5.4296300043e-03,2.8305825923e+02,7.1871951658e-05,1.2639175236e-04,-5.4869564034e-08,-2.2919514846e-06,-2.4813595173e-08,9.9105652807e-08,-1.2360105670e-08,3.8547818014e-07,-1.7919364110e-06,-4.3300951063e-04,5.7228915663e-02
-3.9375000000e+00,1.1391795107e-03,-5.3691322719e-03,2.8305857210e+02,6.9147815539e-05,1.2309597883e-04,-5.1151296485e-08,-2.4083592358e-06,-2.1830600829e-08,1.3121558723e-07,-8.6078413081e-09,3.1045509995e-07,-1.7266946003e-06,-4.3656457358e-04,6.3253012048e-02
-4.3125000000e+00,8.6876164547e-04,-5.3108324611e-03,2.8305883439e+02,6.6875435752e-05,1.2006229202e-04,-4.8072902003e-08,-2.5110323167e-06,-1.7480554061e-08,1.5643765929e-07,-5.6801690860e-09,2.4814342307e-07,-1.6673706681e-06,-4.3988629581e-04,6.9277108434e-02
-4.6875000000e+00,6.4114114360e-04,-5.2545644542e-03,2.8305905568e+02,6.4928365287e-05,1.1724200209e-04,-4.5488719071e-08,-2.6022594166e-06,-1.1320369889e-08,1.7449338422e-07,-3.6394973787e-09,1.9740472971e-07,-1.6123069971e-06,-4.4297769808e-04,7.5301204819e-02
-5.0625000000e+00,4.4141233106e-04,-5.1992211150e-03,2.8305924558e+02,6.3242649270e-05,1.1459132001e-04,-4.3315205762e-08,-2.6844501190e-06,-4.6204997168e-09,1.8643630784e-07,-2.5281397526e-09,1.5497615634e-07,-1.5608077229e-06,-4.4587697512e-04,8.1325301205e-02
-5.4375000000e+00,2.6882968049e-04,-5.1456008253e-03,2.8305940908e+02,6.1772874147e-05,1.1210931565e-04,-4.1457741426e-08,-2.7581963446e-06,2.3095261175e-09,1.9400259075e-07,-1.8188399334e-09,1.1959167811e-07,-1.5130040687e-06,-4.4859132193e-04,8.7349397590e-02
-5.8125000000e+00,1.1531998852e-04,-5.0936941628e-03,2.8305955237e+02,6.0488979217e-05,1.0977947299e-04,-3.9860272308e-08,-2.8235147192e-06,1.0272386757e-08,1.9739244791e-07,-1.0695235474e-09,8.9042148868e-08,-1.4687348074e-06,-4.5114025464e-04,9.3373493976e-02
-6.1875000000e+00,-2.0606758528e-05,-5.0433650483e-03,2.8305967883e+02,5.9354766351e-05,1.0757707415e-04,-3.8503778537e-08,-2.8812363099e-06,1.8647122799e-08,1.9762977669e-07,-3.9309277371e-10,6.2688825801e-08,-1.4271341833e-06,-4.5353505310e-04,9.9397590361e-02
-6.5625000000e+00,-1.4315076351e-04,-4.9938233469e-03,2.8305979245e+02,5.8348283995e-05,1.0545899052e-04,-3.7308122469e-08,-2.9313567585e-06,2.6290636312e-08,1.9547234020e-07,2.5820975890e-11,3.9559997929e-08,-1.3875509963e-06,-4.5579336181e-04,1.0542168675e-01
-6.9375000000e+00,-2.5186937917e-04,-4.9442754184e-03,2.8305989434e+02,5.7451763541e-05,1.0340699108e-04,-3.6243534641e-08,-2.9749059303e-06,3.2523676806e-08,1.9056852186e-07,-3.2035020670e-10,1.9440784913e-08,-1.3490316378e-06,-4.5792567490e-04,1.1144578313e-01
-7.3125000000e+00,-3.5087670509e-04,-4.8960013157e-03,2.8305998536e+02,5.6643343688e-05,1.0143619169e-04,-3.5290987369e-08,-3.0124620641e-06,3.8028935410e-08,1.8368603115e-07,-1.0013787374e-09,1.5421310912e-09,-1.3120170380e-06,-4.5994303310e-04,1.1746987952e-01
-7.6875000000e+00,-4.4017379806e-04,-4.8488055764e-03,2.8306006772e+02,5.5905546931e-05,9.9538057485e-05,-3.4427310411e-08,-3.0439349572e-06,4.3160693884e-08,1.7644444413e-07,-1.8835513310e-09,-1.4220057929e-08,-1.2764216935e-06,-4.6184812577e-04,1.2349397590e-01
-8.0625000000e+00,-5.2099993993e-04,-4.8026676399e-03,2.8306014226e+02,5.5240873766e-05,9.7711779310e-05,-3.3665949551e-08,-3.0692253019e-06,4.7912394121e-08,1.6981719525e-07,-2.4124568288e-09,-2.8315121382e-08,-1.2423709406e-06,-4.6364592995e-04,1.2951807229e-01
-8.4375000000e+00,-5.9352453822e-04,-4.7576428716e-03,2.8306021060e+02,5.4624341946e-05,9.5950536101e-05,-3.2978708690e-08,-3.0884108431e-06,5.2006291441e-08,1.6306440428e-07,-2.2292408665e-09,-4.0821054835e-08,-1.2097263337e-06,-4.6534378050e-04,1.3554216867e-01
-8.8125000000e+00,-6.5922324138e-04,-4.7136770601e-03,2.8306027351e+02,5.4068774356e-05,9.4250926094e-05,-3.2337016204e-08,-3.1025864320e-06,5.4924114014e-08,1.5591779473e-07,-2.1006038014e-09,-5.2098768229e-08,-1.1785062752e-06,-4.6695011291e-04,1.4156626506e-01
