z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.8750000000e-01,-4.0178639692e-02,-3.9243543157e-02,2.8314841938e+02,1.8785106164e-03,1.9749739604e-03,-1.1521995810e-06,9.0331811532e-07,7.8211604144e-07,7.5078809052e-06,9.0331811532e-07,-1.0065944258e-04,-1.1425557892e-04,-1.9260274549e-03,2.8089887640e-03
-5.6250000000e-01,-4.8147872597e-02,-3.8835074858e-02,2.8314841881e+02,2.5376905745e-03,1.8648771683e-03,-9.6824032661e-07,-1.9894148481e-06,1.6689247015e-07,2.2778232027e-06,3.9151349452e-07,-1.4652886628e-04,-1.0298886601e-04,-3.1141905745e-03,8.4269662921e-03
-9.3750000000e-01,-4.8542109260e-02,-3.8558422362e-02,2.8314841808e+02,2.5400356175e-03,1.7966012662e-03,-5.2668377999e-07,-4.5555856614e-06,-1.7511821984e-08,9.8415601173e-07,2.0332252593e-07,-1.4419579072e-04,-9.5910321656e-05,-3.1954239157e-03,1.4044943820e-02
-1.3125000000e+00,-4.9661124919e-02,-3.8152887821e-02,2.8314841734e+02,2.6336819755e-03,1.7329676027e-03,-4.1252444994e-07,-6.7175997663e-06,-7.8493600896e-08,6.5270388927e-07,1.1043797042e-07,-1.5018826832e-04,-8.9808965922e-05,-3.3637928075e-03,1.9662921348e-02
-1.6875000000e+00,-4.9719717441e-02,-3.7752499313e-02,2.8314841657e+02,2.6259851360e-03,1.6777862695e-03,-3.6828491343e-07,-8.6920403472e-06,-1.2100623786e-07,6.6443208911e-07,8.9773612307e-08,-1.4843332637e-04,-8.4716516323e-05,-3.3857553707e-03,2.5280898876e-02
-2.0625000000e+00,-4.9975601163e-02,-3.7282107721e-02,2.8314841580e+02,2.6417003436e-03,1.6230617119e-03,-3.3954427191e-07,-1.0463912897e-05,-1.4063944064e-07,7.6058059792e-07,1.0092947910e-07,-1.4876451834e-04,-7.9982815314e-05,-3.4292522201e-03,3.0898876404e-02
-2.4375000000e+00,-4.9888789737e-02,-3.6807443569e-02,2.8314841505e+02,2.6244616114e-03,1.5722764891e-03,-3.1711630188e-07,-1.2174314508e-05,-1.5138016564e-07,8.6112159391e-07,1.2132771901e-07,-1.4660669922e-04,-7.5770782361e-05,-3.4291335898e-03,3.6516853933e-02
-2.8125000000e+00,-4.9847804462e-02,-3.6297227127e-02,2.8314841428e+02,2.6131697767e-03,1.5226222874e-03,-2.9444565316e-07,-1.3772297196e-05,-1.5012579104e-07,9.4388816007e-07,1.4187854661e-07,-1.4502140967e-04,-7.1864868901e-05,-3.4332165560e-03,4.2134831461e-02
-3.1875000000e+00,-4.9674547643e-02,-3.5780339523e-02,2.8314841354e+02,2.5894402174e-03,1.4753256534e-03,-2.7393343385e-07,-1.5308864424e-05,-1.4538173738e-07,1.0125096861e-06,1.5845303680e-07,-1.4253465212e-04,-6.8290785777e-05,-3.4216730788e-03,4.7752808989e-02
-3.5625000000e+00,-4.9508393244e-02,-3.5239454594e-02,2.8314841277e+02,2.5671622638e-03,1.4288296488e-03,-2.5466599974e-07,-1.6746136750e-05,-1.3711537138e-07,1.0649444871e-06,1.7076893079e-07,-1.4022931616e-04,-6.4929624847e-05,-3.4104090203e-03,5.3370786517e-02
-3.9375000000e+00,-4.9281290328e-02,-3.4689309376e-02,2.8314841200e+02,2.5393947135e-03,1.3836269356e-03,-2.3756951204e-07,-1.8110018247e-05,-1.2771518143e-07,1.1029056744e-06,1.8084610220e-07,-1.3755729806e-04,-6.1777610759e-05,-3.3925459120e-03,5.8988764045e-02
-4.3125000000e+00,-4.9049352540e-02,-3.4123583111e-02,2.8314841119e+02,2.5116685691e-03,1.3389981394e-03,-2.2238346733e-07,-1.9378406767e-05,-1.1926491649e-07,1.1295357234e-06,1.8872503735e-07,-1.3494262317e-04,-5.8768650073e-05,-3.3741241177e-03,6.4606741573e-02
-4.6875000000e+00,-4.8784693953e-02,-3.3551714399e-02,2.8314841040e+02,2.4811932091e-03,1.2953682498e-03,-2.0893966020e-07,-2.0570374169e-05,-1.1326277767e-07,1.1452227790e-06,1.9428647424e-07,-1.3216868373e-04,-5.5911161898e-05,-3.3526464294e-03,7.0224719101e-02
-5.0625000000e+00,-4.8511222100e-02,-3.2971058925e-02,2.8314840958e+02,2.4503269015e-03,1.2523980889e-03,-1.9678252514e-07,-2.1679217750e-05,-1.0825035932e-07,1.1480045636e-06,1.9770762059e-07,-1.2941529850e-04,-5.3173678964e-05,-3.3305770823e-03,7.5842696629e-02
-5.4375000000e+00,-4.8215622511e-02,-3.2385917435e-02,2.8314840875e+02,2.4177434239e-03,1.2102132473e-03,-1.8605531407e-07,-2.2710806673e-05,-1.0367674910e-07,1.1388231967e-06,2.0076681756e-07,-1.2657846206e-04,-5.0550835882e-05,-3.3068831703e-03,8.1460674157e-02
