z,u,v,θ,u2,v2,ε,uv,u2_sgs,v2_sgs,uv_sgs,u3_res,v3_res,p,σ
-1.8750000000e-01,4.7036380936e-03,-1.1289794208e-02,2.8302392512e+02,1.6604813962e-04,3.5663985800e-04,-3.4567507298e-07,3.1326924573e-07,5.4608996043e-07,4.0296433604e-06,3.1326924573e-07,1.3136882301e-06,-9.2261721905e-06,-2.6042169076e-04,2.8901734104e-03
-5.6250000000e-01,-4.6171832115e-04,-1.1032237330e-02,2.8303137896e+02,1.2713489733e-04,3.1826700032e-04,-3.0136899766e-07,-7.7581302253e-07,1.5082340123e-07,1.4461777860e-06,1.4652142986e-07,-8.0449466128e-07,-7.9090343286e-06,-4.9117015843e-04,8.6705202312e-03
-9.3750000000e-01,-8.0830782845e-04,-1.0839005640e-02,2.8303332367e+02,1.1234046040e-04,2.9354099527e-04,-1.6652820426e-07,-1.6998191361e-06,-9.2095071784e-09,6.0604635881e-07,7.4786034157e-08,-8.3569075067e-07,-7.0635755116e-06,-5.1656952628e-04,1.4450867052e-02
-1.3125000000e+00,-1.5936929694e-03,-1.0588878341e-02,2.8303499121e+02,1.0686843652e-04,2.7333123312e-04,-1.2939477682e-07,-2.4590529349e-06,-7.1194579889e-08,2.8297636991e-07,3.0896559062e-08,-9.9208096372e-07,-6.3703799444e-06,-5.5339137014e-04,2.0231213873e-02
-1.6875000000e+00,-1.7170749937e-03,-1.0366862798e-02,2.8303591801e+02,1.0078949505e-04,2.5727801430e-04,-1.1443393055e-07,-3.1470766414e-06,-1.1045305287e-07,1.8235310992e-07,1.1450007754e-08,-9.4769184487e-07,-5.8282716549e-06,-5.6475117357e-04,2.6011560694e-02
-2.0625000000e+00,-1.9386417171e-03,-1.0135144570e-02,2.8303669606e+02,9.6803839676e-05,2.4337513670e-04,-1.0525818392e-07,-3.7481634581e-06,-1.2261612420e-07,1.7788636757e-07,7.6034901199e-09,-9.3798161552e-07,-5.3674007799e-06,-5.7794631568e-04,3.1791907514e-02
-2.4375000000e+00,-1.9513114853e-03,-9.9224765928e-03,2.8303722809e+02,9.2644499550e-05,2.3162389128e-04,-9.7655008335e-08,-4.3073123813e-06,-1.2472599763e-07,2.1472743625e-07,1.3321997864e-08,-8.7795869233e-07,-4.9851906875e-06,-5.8422581485e-04,3.7572254335e-02
-2.8125000000e+00,-1.9787095019e-03,-9.7111466978e-03,2.8303767910e+02,8.9310760434e-05,2.2126818085e-04,-9.0483540884e-08,-4.8104381787e-06,-1.1698417856e-07,2.6456998733e-07,2.3033894666e-08,-8.2990930276e-07,-4.6535168472e-06,-5.9038508251e-04,4.3352601156e-02
-3.1875000000e+00,-1.9241457709e-03,-9.5134828226e-03,2.8303802462e+02,8.6031975333e-05,2.1225170626e-04,-8.4014729127e-08,-5.2751150293e-06,-1.0587015214e-07,3.1550484125e-07,3.4206597020e-08,-7.6769605066e-07,-4.3692904811e-06,-5.9406736038e-04,4.9132947977e-02
-3.5625000000e+00,-1.8697661880e-03,-9.3196340578e-03,2.8303832251e+02,8.3185574161e-05,2.0420747185e-04,-7.8150250278e-08,-5.6933434329e-06,-9.2309886339e-08,3.6082375898e-07,4.4710290238e-08,-7.1222154372e-07,-4.1197644148e-06,-5.9740121713e-04,5.4913294798e-02
-3.9375000000e+00,-1.7794694405e-03,-9.1365766479e-03,2.8303856664e+02,8.0480697089e-05,1.9705548596e-04,-7.3000550568e-08,-6.0777771058e-06,-7.8199263599e-08,3.9854211437e-07,5.3274049785e-08,-6.5397211140e-07,-3.9017349652e-06,-5.9965394098e-04,6.0693641618e-02
-4.3125000000e+00,-1.6889667299e-03,-8.9589732480e-03,2.8303878039e+02,7.8065905650e-05,1.9058438027e-04,-6.8482086570e-08,-6.4241973747e-06,-6.4250737226e-08,4.2603543207e-07,5.9685223851e-08,-6.0111831092e-07,-3.7078107269e-06,-6.0163104974e-04,6.6473988439e-02
-4.6875000000e+00,-1.5829637376e-03,-8.7896179598e-03,2.8303896381e+02,7.5808531294e-05,1.8472778627e-04,-6.4554128387e-08,-6.7401432086e-06,-5.1376912982e-08,4.4485765389e-07,6.4677109183e-08,-5.4913827107e-07,-3.5355059045e-06,-6.0308298085e-04,7.2254335260e-02
-5.0625000000e+00,-1.4788995827e-03,-8.6269368624e-03,2.8303912723e+02,7.3759789422e-05,1.7935037104e-04,-6.1114494863e-08,-7.0251174685e-06,-3.9565476922e-08,4.5495243446e-07,6.7820251377e-08,-5.0121425521e-07,-3.3802869251e-06,-6.0435698675e-04,7.8034682081e-02
-5.4375000000e+00,-1.3705702601e-03,-8.4718790383e-03,2.8303927119e+02,7.1871286311e-05,1.7439740205e-04,-5.8110054116e-08,-7.2811990516e-06,-2.8286301092e-08,4.5703938488e-07,6.9087190768e-08,-4.5562309773e-07,-3.2397767449e-06,-6.0537849290e-04,8.3815028902e-02
-5.8125000000e+00,-1.2648091628e-03,-8.3237962837e-03,2.8303940126e+02,7.0151831654e-05,1.6981011432e-04,-5.5475020340e-08,-7.5079824058e-06,-1.7345623391e-08,4.5174467086e-07,6.8998411221e-08,-4.1357895656e-07,-3.1112281285e-06,-6.0627566590e-04,8.9595375723e-02
-6.1875000000e+00,-1.1575283910e-03,-8.1822039943e-03,2.8303951873e+02,6.8551717605e-05,1.6553468553e-04,-5.3175332688e-08,-7.7086655571e-06,-7.2468401539e-09,4.4114451627e-07,6.7313010385e-08,-3.7396837868e-07,-2.9926723759e-06,-6.0701600977e-04,9.5375722543e-02
